ISO6393	Status	Pop.Size	simp.status
nyal1254	"Threatened (20 percent certain, based on the evidence available)"	1600	threatened
byw	"Severely Endangered (40 percent certain, based on the evidence available)"	NA	severely_endangered
bey	"Vulnerable (100 percent certain, based on the evidence available)"	"<1,453"	vulnerable
blm	"Threatened (20 percent certain, based on the evidence available)"	"6,600"	threatened
brw	"Endangered (20 percent certain, based on the evidence available)"	"1,000"	endangered
dbt	"Threatened (20 percent certain, based on the evidence available)"	"3,000"	threatened
bdp	"Endangered (100 percent certain, based on the evidence available)"	27000	endangered
bng	"Severely Endangered (60 percent certain, based on the evidence available)"		severely_endangered
bgy; beng1287	"Endangered (20 percent certain, based on the evidence available)"	320	endangered
rif-ben	"Severely Endangered (60 percent certain, based on the evidence available)"		severely_endangered
bie; bepo1240	"Severely Endangered (80 percent certain, based on the evidence available)"	NA	severely_endangered
bxv	"Critically Endangered (20 percent certain, based on the evidence available)"	2	critically_endangered
brc	Dormant 	0	dormant
west2616	Awakening ()	0	awakening
bit	"Endangered (20 percent certain, based on the evidence available)"	178	endangered
bes	"Threatened (20 percent certain, based on the evidence available)"	"1,230"	threatened
bfe	"Endangered (20 percent certain, based on the evidence available)"	600	endangered
byf	"Severely Endangered (20 percent certain, based on the evidence available)"	NA	severely_endangered
eot	"Endangered (20 percent certain, based on the evidence available)"	200	endangered
xub	"Threatened (20 percent certain, based on the evidence available)"	2000	threatened
kap	"Threatened (20 percent certain, based on the evidence available)"	"6,200"	threatened
bhd	"Vulnerable (20 percent certain, based on the evidence available)"	"<69,000"	vulnerable
bhd-bha			
bhe	"Endangered (20 percent certain, based on the evidence available)"	700	endangered
unr-bhu	"At risk (20 percent certain, based on the evidence available)"	"over 100,000"	at_risk
bif	"Vulnerable (20 percent certain, based on the evidence available)"	"44,900"	vulnerable
bhw	"Severely Endangered (100 percent certain, based on the evidence available)"	"70,000"	severely_endangered
xbp	Dormant ()	0	dormant
bym	"Severely Endangered (20 percent certain, based on the evidence available)"	20	severely_endangered
bnk	"Threatened (100 percent certain, based on the evidence available)"	900	threatened
brj	"Severely Endangered (20 percent certain, based on the evidence available)"	25	severely_endangered
biu	"Vulnerable (20 percent certain, based on the evidence available)"	"19,000"	vulnerable
bhc; biga1238	"Threatened (100 percent certain, based on the evidence available)"	~300	threatened
xbe	Dormant ()	0	dormant
ibh	"Critically Endangered (60 percent certain, based on the evidence available)"		critically_endangered
byb	"Critically Endangered (20 percent certain, based on the evidence available)"	1	critically_endangered
byn	"Vulnerable (20 percent certain, based on the evidence available)"	"~90,000"	vulnerable
nbj-bil	"Critically Endangered (100 percent certain, based on the evidence available)"	1	critically_endangered
tls	"Severely Endangered (20 percent certain, based on the evidence available)"	<50	severely_endangered
blb	"Threatened (20 percent certain, based on the evidence available)"	"8,740"	threatened
bhp	"At risk (20 percent certain, based on the evidence available)"	"500,000"	at_risk
bhl	"Vulnerable (60 percent certain, based on the evidence available)"	"2,000"	vulnerable
byj	"Threatened (20 percent certain, based on the evidence available)"	"7,000"	threatened
wmb-bin	"Critically Endangered (20 percent certain, based on the evidence available)"	2	critically_endangered
gup	"Threatened (20 percent certain, based on the evidence available)"	"~1,600"	threatened
bny	"Vulnerable (100 percent certain, based on the evidence available)"		vulnerable
